fullname,hand,ioc,ht,sex
Katrina Scott,R,USA,,F
Roman Safiullin,R,RUS,,M
Luke Saville,R,AUS,,M
Di Wu,R,CHN,,M
Zhizhen Zhang,R,CHN,193,M
Yue Yuan,,CHN,,F
Alen Avidzba,R,RUS,,M
Filip Horansky,R,SVK,,M
Artem Dubrivnyy,R,RUS,,M
Gabriela Dabrowski,R,CAN,,F
Polina Kudermetova,,RUS,,F
Anastasia Zakharova,,RUS,,F
Jana Fett,R,CRO,,F
Lucas Renard,R,SWE,,M
Rayane Roumane,R,FRA,,M
Jose Hernandez,,DOM,,M
Cayetano March,,ECU,,M
Ji Sung Nam,R,KOR,,M
Sanjar Fayziev,,UZB,,M
Benjamin Hassan,R,GER,,M
Jurabek Karimov,,UZB,,M
Emil Ruusuvuori,R,FIN,188,M
Jonas Forejtek,R,CZE,,M
Sandro Ehrat,R,SUI,180,M
Markus Eriksson,R,SWE,,M
Wilfredo Gonzalez,R,GUA,,M
Federico Zeballos,,BOL,,M
Manuel Sanchez,R,MEX,,M
Lucas Gomez,,MEX,,M
Juan Pablo Varillas,R,PER,,M
Nicolas Alvarez,R,PER,,M
Ajeet Rai,R,NZL,,M
Rhett Purcell,R,GBR,,M
Ari Fahresi,,INA,,M
Palaphoom Kovapitukted,R,THA,,M
Wishaya Trongcharoenchaikul,R,THA,,M
John Bryan Decasa Otico,R,PHI,,M
Tung Lin Wu,R,TPE,,M
Chun Hsin Tseng,R,TPE,,M
Holger Rune,R,DEN,,M
Mohamed Safwat,R,EGY,183,M
Lamine Ouahab,R,ALG,185,M
Aleksandre Metreveli,R,GEO,,M
Benjamin Lock,R,ZIM,,M
Dragos Dima,R,ROU,,M
Filip Cristian Jianu,,ROU,,M
Dimitar Kuzmanov,R,BUL,,M
Philip Henning,R,RSA,,M
Zhe Li,R,CHN,,M
Alejandro Gonzalez,R,COL,,M
Alexandr Dolgopolov,R,UKR,180,M
Horacio Zeballos,L,ARG,188,M
Catherine Cartan Bellis,R,USA,,F
Ana Konjuh,R,CRO,,F
Mirjana Lucic,R,CRO,,F
Polina Monova,R,RUS,,F
Sara Tomic,R,AUS,,F
Irina Falconi,R,USA,,F
Kateryna Bondarenko,R,UKR,175,F
Aldin Setkic,R,BIH,193,M
Ricardo Ojeda Lara,R,ESP,,M
Yuki Bhambri,R,IND,183,M
Carlos Taberner,R,ESP,,M
Joao Souza,R,BRA,193,M
Liam Caruana,R,USA,,M
Gilles Muller,L,LUX,193,M
Elena Vesnina,R,RUS,176,F
Agnieszka Radwanska,R,POL,170,F
Aleksandar Vukic,R,AUS,,M
Teymuraz Gabashvili,R,RUS,188,M
Vaclav Safranek,R,CZE,,M
Ying Ying Duan,R,CHN,,F
Carina Witthoeft,R,GER,,F
Belinda Woolcock,R,AUS,,F
Shuko Aoyama,R,JPN,,F
Julien Benneteau,R,FRA,185,M
Nicolas Kicker,R,ARG,,M
Lucie Safarova,L,CZE,177,F
Bradley Mousley,,AUS,,M
Zsombor Piros,R,HUN,,M
Karim Mohamed Maamoun,R,EGY,,M
Stephane Robert,R,FRA,185,M
Dennis Novikov,R,USA,,M
Stefan Kozlov,R,USA,,M
Dmitry Popko,R,KAZ,,M
Frank Dancevic,R,CAN,185,M
Andrea Collarini,L,ARG,,M
Andrew Whittington,R,AUS,,M
Julia Boserup,R,USA,,F
Evgeniya Rodina,R,RUS,,F
Alexandra Dulgheru,R,ROU,,F
Silvia Soler Espinosa,R,ESP,,F
Elitsa Kostova,R,BUL,,F
Naomi Broady,R,GBR,189,F
Miharu Imanishi,,JPN,,F
Daniela Seguel,,CHI,,F
Francoise Abanda,R,CAN,,F
Vera Lapko,R,BLR,,F
Kayla Day,L,USA,,F
Xinyun Han,L,CHN,,F
Gerald Melzer,L,AUT,,M
Yibing Wu,R,CHN,,M
Cristian Rodriguez,R,COL,,M
Joao Pedro Sorgi,R,BRA,,M
Aisam Ul Haq Qureshi,R,PAK,183,M
Aqeel Khan,R,PAK,,M
M Abid Ali Khan Akbar,,PAK,,M
Dudi Sela,R,ISR,175,M
Edan Leshem,,ISR,,M
Duilio Beretta,R,PER,,M
Jorge Brian Panta Herreros,,PER,,M
Luis Diego Chavez Villalpando,,ESP,,M
Youssef Hossam,R,EGY,,M
Rodrigo Arus,,URU,,M
Jurgen Zopp,R,EST,190,M
Amine Ahouda,,MAR,,M
Anthony Jackie Tang,,HKG,,M
Hong Kit Jack Wong,R,HKG,,M
Skyler Butts,,HKG,,M
Frederik Nielsen,R,DEN,190,M
Peter Bothwell,R,IRL,,M
Soren Hess Olesen,R,DEN,,M
Hady Habib,,LIB,,M
Ti Chen,R,TPE,183,M
Alberto Lim,R,PHI,,M
David Agung Susanto,,INA,,M
Luis Patino,R,MEX,,M
Ugo Nastasi,R,LUX,,M
Bogdan Borza,L,ROU,,M
Sharmal Dissanayake,R,SRI,,M
Jirat Navasirisomboon,R,THA,,M
Harri Heliovaara,R,FIN,,M
Takanyi Garanganga,R,ZIM,,M
Sarp Agabigun,R,TUR,,M
Ricardo Rodriguez,R,VEN,,M
Christopher Diaz Figueroa,R,GUA,,M
Kenny De Schepper,L,FRA,203,M
