tourney_id,sex,draw_size,tourney_level
2019-M-DC-2019-G1-EPA-M-SUI-SVK-01,M,4.0,D
2019-M-DC-2019-G1-EPA-M-SWE-ISR-01,M,4.0,D
2019-M-DC-2019-G2-AM-M-GUA-BOL-01,M,4.0,D
2019-M-DC-2019-G2-AM-M-MEX-PAR-01,M,4.0,D
2019-M-DC-2019-G2-AM-M-PER-ESA-01,M,4.0,D
2019-M-DC-2019-G2-AO-M-NZL-INA-01,M,4.0,D
2019-M-DC-2019-G2-AO-M-THA-PHI-01,M,4.0,D
2019-M-DC-2019-G2-AO-M-TPE-HKG-01,M,4.0,D
2019-M-DC-2019-G2-EPA-M-DEN-TUR-01,M,4.0,D
2019-M-DC-2019-G2-EPA-M-EGY-SLO-01,M,4.0,D
